sent.id,text,L.conjunct,R.conjunct,governor.position,correct,comment
train-1921,"Czytanie jest u kalwinów powinnością religijną, obowiązkiem wierzącego.",powinnością religijną,obowiązkiem wierzącego,0,1,
train-s23,"Przed klęczącym na chodniku człowiekiem leży pies, a na nim stoi szczur.",Przed klęczącym na chodniku człowiekiem leży pies,na nim stoi szczur,0,1,
train-s14117,"Przychodząc do Szymaniaka, rozkazując mu, że ma jechać młócić do Lisewa, a Kuźnice Małe zostawić tak sobie.",Przychodząc do Szymaniaka,"rozkazując mu, że ma jechać młócić do Lisewa, a Kuźnice Małe zostawić tak sobie",0,1,
w03005013,"Piśmiennictwo i pismo mykeńskie uległy zapomnieniu, ale Grecy przejęli alfabet fenicki, modyfikując go i tworząc alfabet grecki.",Piśmiennictwo i pismo mykeńskie uległy zapomnieniu,"Grecy przejęli alfabet fenicki, modyfikując go i tworząc alfabet grecki",0,1,
train-s112,"Dziewczynka i chłopiec siedzą przy kierownicy quada znajdującego się na trawie, druga dziewczynka stoi za nimi z rękami w górze, a trzecia dziewczynka stoi obok z ugiętymi kolanami.",Dziewczynka i chłopiec siedzą przy kierownicy quada znajdującego się na trawie,trzecia dziewczynka stoi obok z ugiętymi kolanami,0,1,
train-s1093,"Dwie osoby skaczą na deskach snowboardowych nad śniegiem, a jedna osoba stoi obok.",Dwie osoby skaczą na deskach snowboardowych nad śniegiem,jedna osoba stoi obok,0,1,
dev-s263,Rybnik błyskawicznie złożył trzy projekty i pieniądze te otrzymał.,złożył trzy projekty,pieniądze te otrzymał,0,1,
test-s1565,Nie było by może przez to głupich córek i skończył by się problem aborcji.,było by może przez to głupich córek,skończył by się problem aborcji,0,0,
dev-s1017,"Kiedyś, po jednym z moich wczesnych występów, przyszedł do mnie Cezary i powiedział: Słuchaj, jestem fanem twojego głosu.",przyszedł do mnie Cezary,"powiedział: Słuchaj, jestem fanem twojego głosu",0,1,
train-s9049,"Zakradałem się też niepostrzeżenie do pokoju Krysi, szczypałem ją w kark i szybko uciekałem na podwórko.",Zakradałem się też niepostrzeżenie do pokoju Krysi,szybko uciekałem na podwórko,0,1,
train-5645,Nagle wyskoczył stamtąd ku Maćkowi i uderzył go pięścią w twarz.,wyskoczył stamtąd ku Maćkowi,uderzył go pięścią w twarz,0,1,
train-786,"- Biegał po domu, obszukiwał szafy.",Biegał po domu,obszukiwał szafy,0,1,
train-5697,Najwyższą sumę otrzymał wójt Michał Skałecki i jest to 7100 złotych.,otrzymał wójt Michał Skałecki,jest to 7100 złotych,0,0,
train-11347,"W Betlejem zupełnie utracili ducha dociekliwości, z punktu widzenia intelektualisty zachowali się nadzwyczaj pokornie.",W Betlejem zupełnie utracili ducha dociekliwości,z punktu widzenia intelektualisty zachowali się nadzwyczaj pokornie,0,1,
train-s5961,"Z każdym tygodniem atmosfera w domu zagęszczała się, a czasami było wręcz nie do wytrzymania.",Z każdym tygodniem atmosfera w domu zagęszczała się,czasami było wręcz nie do wytrzymania,0,1,
train-126,A mnie kocha i niczego mi nie broni.,kocha,niczego mi nie broni,0,0,
dev-s1779,"Pieprz roztłuc w moździerzu, dodać do pasty, posolić i wymieszać.",roztłuc w moździerzu,wymieszać,0,0,
train-5466,"Na miejscu pojawiła się policja, później przyjechał prokurator.",pojawiła się policja,później przyjechał prokurator,0,0,
train-s15792,"Chętnie, nigdy nie widziałam rzeźb w drewnie.",Chętnie,nigdy nie widziałam rzeźb w drewnie,0,1,
dev-s1740,"Rozumieć to rozumiem, ale nie znaczy to, że pochwalam.",rozumiem,"nie znaczy to, że pochwalam",0,0,
train-s14164,"Te fasolki wszystkich smaków to wynalazek Joanne Rowling z Harry'ego Pottera i daję sobie punkty za to, że nie musiałem tego nigdzie sprawdzać, natomiast kiedy zgadaliśmy się z innymi rodzicami po zebraniu – to oni nie wiedzieli.",wynalazek Joanne Rowling z Harry'ego Pottera,"daję sobie punkty za to, że nie musiałem tego nigdzie sprawdzać",0,0,
train-8286,- Popił sobie i skoczył do Niemca.,Popił sobie,skoczył do Niemca,0,1,
dev-s400,"Wyrwał rękę i pomyślał, że powinien natychmiast wyjść.",Wyrwał rękę,"pomyślał, że powinien natychmiast wyjść",0,1,
train-2821,"Gram i walczę dla niej, nie dla siebie.",Gram,walczę,0,1,
train-6107,"Nie ma żadnych zasad dopraszania, ale i tak wiadomo, komu wolno usiąść.",Nie ma żadnych zasad dopraszania,"i tak wiadomo, komu wolno usiąść",0,1,
